Area,Code,All categories: Ethnic group,White: Total,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed/multiple ethnic group: Total,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian/Asian British: Total,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: Total,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Total,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
Pembrokeshire,W06000009,"122,439","120,121","117,092",834,454,"1,741",733,234,78,261,160,"1,192",341,69,103,205,474,179,94,44,41,214,61,153
Carmarthenshire,W06000010,"183,777","180,323","175,591",754,335,"3,643","1,033",326,118,364,225,"1,837",563,159,117,298,700,279,115,115,49,305,132,173
Swansea,W06000011,"239,023","224,697","218,655","1,101",85,"4,856","2,160",548,280,781,551,"7,803","1,477",591,"1,944","2,052","1,739","1,983","1,707",172,104,"2,380","1,694",686
Neath Port Talbot,W06000012,"139,812","137,087","135,450",474,125,"1,038",910,384,75,262,189,"1,369",280,125,311,280,373,299,97,175,27,147,53,94
Bridgend,W06000013,"139,178","136,090","133,656",474,63,"1,897",998,338,120,264,276,"1,549",337,122,114,356,620,315,152,121,42,226,75,151
Vale of Glamorgan,W06000014,"126,336","121,838","119,212",639,21,"1,966","1,695",629,247,431,388,"1,967",566,216,121,454,610,489,165,252,72,347,174,173
Cardiff,W06000015,"346,090","293,114","277,798","2,547",521,"12,248","10,031","3,641","1,742","2,459","2,189","27,885","7,886","6,354","4,838","4,168","4,639","8,201","5,213","1,322","1,666","6,859","4,707","2,152"
Rhondda Cynon Taff,W06000016,"234,410","228,241","225,716",582,53,"1,890","1,506",550,192,420,344,"3,030",656,267,106,"1,065",936,"1,308","1,140",99,69,325,160,165
Merthyr Tydfil,W06000024,"58,802","57,391","55,635",122,62,"1,572",462,154,46,151,111,696,168,50,45,120,313,143,118,10,15,110,32,78
Caerphilly,W06000018,"178,806","175,845","173,899",402,31,"1,513","1,174",454,147,296,277,"1,346",327,123,32,495,369,242,121,112,9,199,67,132
Blaenau Gwent,W06000019,"69,814","68,750","67,954",102,72,622,394,163,36,106,89,485,202,39,26,122,96,95,56,33,6,90,12,78
Torfaen,W06000020,"91,075","89,231","88,209",307,155,560,603,237,103,138,125,977,172,64,80,208,453,169,47,88,34,95,14,81
Monmouthshire,W06000021,"91,323","89,526","87,762",395,6,"1,363",624,174,51,232,167,900,245,54,40,193,368,144,80,45,19,129,69,60
Newport,W06000022,"145,736","131,025","126,756",769,84,"3,416","2,752","1,318",360,669,405,"7,986","1,218","3,127","1,749",600,"1,292","2,535","1,499",782,254,"1,438",926,512
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
